course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
2648,Kentucky Commercial Driver's License Test,en-US,9,330,368,"Assessment_Mult_Choice,CDL,COURSE,Career_Exploration,Commercial_Driver's_License,Content_Performance,Course_Length_2,Driving,Earn,Job_Skills,Jobs,Jobs_Finance,Learn,Level_Intermediate,Outcome_Certificate,PDF_Reading,Reentry_Community,Restricted_Visibility,State_Specific_Course,Test_Prep,Text_Item,Time_Completion_Medium"
1229,Pre-Test: Social Studies ,en-US,1,50,108,"Academic,COURSE,Content_Performance,Course_Length_2,Earn,GED,GED_prep,Learn,Level_Intermediate,Level_Literacy_3,PDF_Reading,Picture_Media,Social_Studies,Test_Prep,Text_Item,Time_Completion_Medium,no_edovogo"
4417,"The Sacrament of Penance, Lesson 3",en-US,1,4,14,"CDU,Earn,Information,Learn,Religion,Religion_Spirituality,Religious_Study,Spirituality,for_review,new_content,no_kdoc,no_mdoc"
4270, NCF - Offender Rules and Discipline,en-US,1,1,3,"Information,NORTON_KDOC_ONLY,Resources,Restricted_Visibility"
2317,Yolo County Survey - Round 2,en-US,1,43,61,"Assessment_Essay,Assessment_Survey,Course_Length_1,Earn,Information,Learn,Level_All,Life,Reference,Restricted_Visibility,SURVEY,State_Specific_Course,Time_Completion_Low,yolo_only"
1794,Personal Hygiene,en-US,8,29,100,"Earn,Learn"
1660,Illinois Driver's License,en-US,6,72,104,"Assessment_Mult_Choice,Course_Length_2,Driving,Earn,Jobs,Learn,Level_Intermediate,Life,Outcome_Certificate,PDF,Reentry,Reentry_Community,Reference,Resources,State_Specific_Course,Text_Item,Time_Completion_Medium"
3502,Identifying Thoughts,en-US,1,4,23,Restricted_Visibility
3229,Montana State Prison PREA ,en-US,1,2,6,"Dawson_County_Only,Information,MSP_MT_DOC_only,Resources,Restricted_Visibility"
3869,TCF - Recreation and Offender Activities,en-US,3,3,6,"Information,Resources,Restricted_Visibility,TCF_KDOC_ONLY"
4298,Chapter 2 Section 3: Housing - MT DOC Policy & Procedure,en-US,2,2,4,"Information,LI_MT_DOC_only,Lewiston_MT_DOC_only,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
4122,Ephesians: Grace Changes Marriage,en-US,1,1,2,"Church,Earn,Greensboro_Sermons,Life,Restricted_Visibility,Spirituality,Video_Sermons,Watch,guilford_only"
4305,Chapter 3 Sections 6: Executions - MT DOC Policy & Procedure,en-US,2,2,4,"Information,LI_MT_DOC_only,Lewiston_MT_DOC_only,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
