course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
2065,"Level 1 Reading Practice - Breakfast, A Lot of Food, and Buns and Jam",en-US,4,4,26,"Academic-437,Adult_Basic_Education-1025,Assessment_Mult_Choice-2203,COURSE-37,Content_Performance-2230,Earn-995,Language_Arts-143,Learn-524,Level_Beginner-2254,Level_Literacy_1-2239,Reading-692,Reading_Practice-2422,Reading_Writing-2404,Time_Completion_Low-2311"
3493,0.1 Consent + Inventories (Draft),en-US,11,31,212,"COURSE-37,Learn-524,Making_Changes-731"
3853,TCF - Fiscal Management (z),en-US,5,5,10,Restricted_Visibility-2077
3865,TCF - Classification ,en-US,2,2,4,"Information-2071,Resources-2437,Restricted_Visibility-2077,TCF_KDOC_ONLY-3549"
2593,Continuing My Education,en-US,1,9,20,"College-1055,Diploma-2809,Earn-995,Education-1019,Learn-524,Personal_Growth-2593,State_Specific_Course-1525,University-2935"
4428,Content Loading Issues - Edovo Survey,en-US,1,3,14,"COURSE-37,Edovo-1972,Information-2071,Restricted_Visibility-2077,SURVEY-40"
2216,Edovo Re-Entry Survey,en-US,1,12,14,"Earn-995,Learn-524,Life-872,State_Specific_Course-1525"
1153,Copy of Sample sample,en-US,1,3,10,"Earn-995,Learn-524"
4016,SCF - Release Preparation,en-US,1,1,2,"Information-2071,Resources-2437,Restricted_Visibility-2077,STOCKTON_KDOC_ONLY-3566"
2605,Getting a Job,en-US,1,11,33,"Earn-995,Learn-524,Restricted_Visibility-2077,State_Specific_Course-1525"
3763,Ephesians: Praying Grateful Prayers,en-US,1,1,3,"Earn-995,Greensboro_Sermons-2011,Learn-524,Life-872,Restricted_Visibility-2077,Spirituality-971,guilford_only-3581,highpoint_only-3582"
1892,Make BIG TALK: Introduction  ,en-US,4,19,52,"Academic-437,Assessment_Essay-2200,Assessment_Reflection-2194,Assessment_Short_Answer-2197,COURSE-37,Content_Performance-2230,Course_Length_1-2263,Earn-995,Learn-524,Life-872,Making_Changes-731,Personal_Growth-2593,Reentry_Community-2155,Text_Item-2161,Time_Completion_Low-2311,Video_Tutorial-2320"
4483,Civic Engagement Survey - September 2020 v2,en-US,1,5,32,"Information-2071,Restricted_Visibility-2077,SURVEY-40,new_content-1913"
761,Reflections and Recovery ,en-US,10,33,101,"12_Step-3094,Assessment_Essay-2200,Assessment_Mult_Choice-2203,Assessment_Reflection-2194,Assessment_Short_Answer-2197,COURSE-37,Content_Performance-2230,Coping-2632,Course_Length_2-2266,Drugs-3022,Earn-995,Health_Recovery-2149,Learn-524,Level_All-2251,Life-872,Mental_Health-1916,Narcotics_Anonymous-2905,Personal_Growth-2593,Picture_Media-2188,Recovery-770,Reentry_Community-2155,Spiritual-2158,Substance_Abuse-2470,Text_Item-2161,Time_Completion_Low-2311,Values-2866,Video_Item-2185"
4020,Deconstructing Stigma,en-US,1,1,1,"Earn-995,Health-149,Learn-524,Life-872,MAINE_DOC_ONLY-3577,Restricted_Visibility-2077"
1417,Copy ELA Foundations I (Vicki),en-US,30,165,354,"Earn-995,Learn-524"
3849,"TCF - Administration, Organization, and Management (z)",en-US,2,2,4,Restricted_Visibility-2077
3670,Profession of Faith -  Lesson Two,en-US,8,27,92,"CDU-3575,COURSE-37,Catholic-1355,Christian-1301,Christianity-503,Earn-995,Learn-524,Life-872,Religion-1040,Religion_Spirituality-449,Religious-470,Religious_Study-2596,Spiritual-2158,Spirituality-971"
4311,Chapter 4 Section 4: Sanitation and Hygiene - MT DOC Policy & Procedure,en-US,3,3,6,"Dawson_County_Only-3626,Information-2071,LI_MT_DOC_only-3557,Lewiston_MT_DOC_only-3603,MSP_MT_DOC_only-3559,MWP_MT_DOC_only-3560,PINEHILLS_MT_DOC_ONLY-3587,Resources-2437,Restricted_Visibility-2077,Riverside_MT_DOC_only-3558"
