id,user_id,facility_id,created_at,updated_at
160377,4726,727,2020-06-04 09:58:35.071,2020-06-04 09:58:35.071
161340,1519,538,2020-06-08 14:23:22.411,2020-06-08 14:23:22.411
161370,1519,683,2020-06-08 14:23:22.464,2020-06-08 14:23:22.464
161400,1519,113,2020-06-08 14:23:22.517,2020-06-08 14:23:22.517
161430,1519,684,2020-06-08 14:23:22.57,2020-06-08 14:23:22.57
161460,1519,178,2020-06-08 14:23:22.624,2020-06-08 14:23:22.624
161655,4737,286,2020-06-09 02:21:46.093,2020-06-09 02:21:46.093
161690,4066,466,2020-06-09 18:38:43.143,2020-06-09 18:38:43.143
161732,1954,358,2020-06-11 10:06:50.251,2020-06-11 10:06:50.251
162491,944,96,2020-06-25 08:46:18.296,2020-06-25 08:46:18.296
162521,3355,280,2020-06-30 09:51:33.207,2020-06-30 09:51:33.207
162551,3355,123,2020-06-30 09:51:33.226,2020-06-30 09:51:33.226
162581,3355,652,2020-06-30 09:51:33.245,2020-06-30 09:51:33.245
162611,3355,205,2020-06-30 09:51:33.263,2020-06-30 09:51:33.263
162641,3355,625,2020-06-30 09:51:33.282,2020-06-30 09:51:33.282
162671,3355,695,2020-06-30 09:51:33.301,2020-06-30 09:51:33.301
163792,99,274,2020-07-01 15:08:12.944,2020-07-01 15:08:12.944
163822,99,33,2020-07-01 15:08:12.995,2020-07-01 15:08:12.995
163852,99,688,2020-07-01 15:08:13.046,2020-07-01 15:08:13.046
163882,99,682,2020-07-01 15:08:13.098,2020-07-01 15:08:13.098
163912,99,550,2020-07-01 15:08:13.151,2020-07-01 15:08:13.151
163942,99,700,2020-07-01 15:08:13.202,2020-07-01 15:08:13.202
164455,781,292,2020-07-14 09:18:40.114,2020-07-14 09:18:40.114
164485,781,664,2020-07-14 09:18:40.216,2020-07-14 09:18:40.216
164515,781,726,2020-07-14 09:18:40.28,2020-07-14 09:18:40.28
164545,781,199,2020-07-14 09:18:40.35,2020-07-14 09:18:40.35
165351,4844,69,2020-07-20 12:03:56.075,2020-07-20 12:03:56.075
165382,2697,514,2020-07-20 15:42:11.529,2020-07-20 15:42:11.529
165412,2697,99,2020-07-20 15:42:11.583,2020-07-20 15:42:11.583
165442,2697,718,2020-07-20 15:42:11.638,2020-07-20 15:42:11.638
165472,2697,475,2020-07-20 15:42:11.691,2020-07-20 15:42:11.691
165502,2697,199,2020-07-20 15:42:11.745,2020-07-20 15:42:11.745
165532,4565,714,2020-07-21 12:29:39.474,2020-07-21 12:29:39.474
165562,4565,704,2020-07-21 12:29:39.527,2020-07-21 12:29:39.527
165592,4565,248,2020-07-21 12:29:39.582,2020-07-21 12:29:39.582
165622,4565,49,2020-07-21 12:29:39.638,2020-07-21 12:29:39.638
165652,4565,415,2020-07-21 12:29:39.694,2020-07-21 12:29:39.694
165843,148,517,2020-07-24 09:22:47.421,2020-07-24 09:22:47.421
165873,148,99,2020-07-24 09:22:47.472,2020-07-24 09:22:47.472
165903,148,649,2020-07-24 09:22:47.522,2020-07-24 09:22:47.522
165933,148,460,2020-07-24 09:22:47.572,2020-07-24 09:22:47.572
165963,148,720,2020-07-24 09:22:47.623,2020-07-24 09:22:47.623
165975,148,221,2020-07-24 09:22:47.643,2020-07-24 09:22:47.643
166005,1912,502,2020-07-24 10:16:20.993,2020-07-24 10:16:20.993
166035,1912,463,2020-07-24 10:16:21.044,2020-07-24 10:16:21.044
166065,45,728,2020-07-24 10:16:48.69,2020-07-24 10:16:48.69
166095,45,418,2020-07-24 10:16:48.749,2020-07-24 10:16:48.749
166125,45,718,2020-07-24 10:16:48.803,2020-07-24 10:16:48.803
166155,45,460,2020-07-24 10:16:48.858,2020-07-24 10:16:48.858
166185,45,724,2020-07-24 10:16:48.912,2020-07-24 10:16:48.912
1058,198,35,2016-05-19 16:01:31,2016-05-19 16:01:31
5504,371,78,2016-09-09 10:48:58,2016-09-09 10:48:58
12698,568,117,2017-01-11 11:23:23,2017-01-11 11:23:23
22006,105,19,2017-07-06 13:44:52.07,2017-07-06 13:44:52.07
26483,980,217,2017-08-24 14:51:21.22,2017-08-24 14:51:21.22
30709,1105,227,2017-10-18 10:53:53.743,2017-10-18 10:53:53.743
31354,1108,86,2017-10-20 10:38:02.858,2017-10-20 10:38:02.858
31444,1108,227,2017-10-20 10:38:02.903,2017-10-20 10:38:02.903
35227,1165,340,2017-11-21 09:38:37.513,2017-11-21 09:38:37.513
40114,1300,113,2018-01-30 14:42:37.028,2018-01-30 14:42:37.028
42868,965,138,2018-02-19 11:18:26.13,2018-02-19 11:18:26.13
42958,965,141,2018-02-19 11:18:26.162,2018-02-19 11:18:26.162
43048,965,242,2018-02-19 11:18:26.195,2018-02-19 11:18:26.195
50224,1459,412,2018-03-30 11:17:20.174,2018-03-30 11:17:20.174
56776,1543,478,2018-05-01 10:55:35.895,2018-05-01 10:55:35.895
57829,14,208,2018-05-04 14:47:46.761,2018-05-04 14:47:46.761
57919,14,156,2018-05-04 14:47:46.787,2018-05-04 14:47:46.787
58009,14,54,2018-05-04 14:47:46.814,2018-05-04 14:47:46.814
64570,125,96,2018-06-11 10:53:22.248,2018-06-11 10:53:22.248
64660,125,199,2018-06-11 10:53:22.269,2018-06-11 10:53:22.269
64759,1918,46,2018-06-11 12:22:11.921,2018-06-11 12:22:11.921
64849,1918,123,2018-06-11 12:22:11.946,2018-06-11 12:22:11.946
64939,1918,217,2018-06-11 12:22:11.972,2018-06-11 12:22:11.972
65029,1918,15,2018-06-11 12:22:11.993,2018-06-11 12:22:11.993
67600,1978,439,2018-07-02 08:01:30.22,2018-07-02 08:01:30.22
67933,2095,439,2018-07-16 07:43:45.56,2018-07-16 07:43:45.56
68665,15,113,2018-07-20 10:48:08.172,2018-07-20 10:48:08.172
